Title,Genre,Premiere,Runtime,IMDb Rating,Language,Netflix
Los Tigres del Norte at Folsom Prison,Documentary,15-Sep-19,64,7,Spanish,Yes
Ma Rainey's Black Bottom,Drama,18-Dec-20,94,7,English,Yes
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,18-Dec-20,31,7,English,Yes
Operation Varsity Blues: The College Admissions Scandal,Documentary,17-Mar-21,99,7,English,Yes
Pele,Documentary,23-Feb-21,108,7,English,Yes
ReMastered: Devil at the Crossroads,Documentary,26-Apr-19,48,7,English,Yes
ReMastered: The Lion's Share,Documentary,17-May-19,84,7,English,Yes
ReMastered: The Miami Showband Massacre,Documentary,22-Mar-19,70,7,English,Yes
Resurface,Documentary,1-Sep-17,27,7,English,Yes
Rocko's Modern Life: Static Cling,Animation / Comedy,9-Aug-19,45,7,English,Yes
Rose Island,Comedy,9-Dec-20,117,7,Italian,Yes
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,22-Nov-18,104,7,English,Yes
The Dirt,Biopic,22-Mar-19,108,7,English,Yes
The Night Comes for Us,Action-thriller,19-Oct-18,121,7,Indonesian,Yes
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,26-Jan-17,36,7.1,English,Yes
Angela's Christmas,Animation,30-Nov-18,30,7.1,English,Yes
Angela's Christmas Wish,Animation,1-Dec-20,47,7.1,English,Yes
Beats,Drama,19-Jun-19,110,7.1,English,Yes
Circus of Books,Documentary,22-Apr-20,92,7.1,English,Yes
Dance Dreams: Hot Chocolate Nutcracker,Documentary,27-Nov-20,80,7.1,English,Yes
Derren Brown: Sacrifice,Mentalism special,19-Oct-18,49,7.1,English,Yes
El Pepe: A Supreme Life,Documentary,27-Dec-19,73,7.1,Spanish,Yes
End Game,Documentary,4-May-18,40,7.1,English,Yes
Evelyn,Documentary,10-Sep-19,96,7.1,English,Yes
Ferry,Crime drama,14-May-21,106,7.1,Dutch,Yes
Grass Is Greener,Documentary,20-Apr-19,97,7.1,English,Yes
Guillermo Vilas: Settling the Score,Documentary,27-Oct-20,94,7.1,Spanish,Yes
Joshua: Teenager vs. Superpower,Documentary,26-May-17,78,7.1,English,Yes
Keith Richards: Under the Influence,Documentary,18-Sep-15,81,7.1,English,Yes
Knock Down the House,Documentary,1-May-19,87,7.1,English,Yes
Loudon Wainwright III: Surviving Twin,One-man show,13-Nov-18,91,7.1,English,Yes
My Beautiful Broken Brain,Documentary,18-Mar-16,91,7.1,English,Yes
One of Us,Documentary,20-Oct-17,95,7.1,English,Yes
Pieces of a Woman,Drama,7-Jan-21,126,7.1,English,Yes
"Ram Dass, Going Home",Documentary,6-Apr-18,31,7.1,English,Yes
ReMastered: Tricky Dick & the Man in Black,Documentary,2-Nov-18,58,7.1,English,Yes
Rooting for Roona,Documentary,15-Oct-20,41,7.1,Bengali,Yes
The Devil All the Time,Psychological thriller,16-Sep-20,138,7.1,English,Yes
The Dig,Drama,29-Jan-21,112,7.1,English,Yes
The Great Hack,Documentary,24-Jul-19,114,7.1,English,Yes
The White Tiger,Drama,22-Jan-21,125,7.1,English,Yes
To All the Boys I've Loved Before,Romantic comedy,17-Aug-18,99,7.1,English,Yes
American Murder: The Family Next Door,Documentary,30-Sep-20,82,7.2,English,Yes
Audrie & Daisy,Documentary,23-Sep-16,98,7.2,English,Yes
First They Killed My Father,Drama,15-Sep-17,136,7.2,Khmer/English/French,Yes
Fyre: The Greatest Party That Never Happened,Documentary,18-Jan-19,97,7.2,English,Yes
Into the Inferno,Documentary,28-Oct-16,107,7.2,English,Yes
LA Originals,Documentary,10-Apr-20,92,7.2,English,Yes
Ladies First,Documentary,8-Mar-18,39,7.2,English/Hindi,Yes
Love per Square Foot,Romantic comedy,14-Feb-18,133,7.2,Hindi,Yes
Paddleton,Drama-Comedy,22-Feb-19,89,7.2,English,Yes
Private Life,Drama,5-Oct-18,124,7.2,English,Yes
Seventeen,Coming-of-age comedy-drama,18-Oct-19,99,7.2,Spanish,Yes
Sometimes,Drama,1-May-18,101,7.2,Tamil,Yes
Soni,Crime drama,18-Jan-19,97,7.2,Hindi,Yes
The 40-Year-Old Version,Comedy,9-Oct-20,124,7.2,English,Yes
The Disciple,Drama,30-Apr-21,129,7.2,Marathi,Yes
The Edge of Democracy,Documentary,19-Jun-19,121,7.2,Portuguese,Yes
The King,Historical drama,1-Nov-19,140,7.2,English,Yes
The Road to El Camino: A Breaking Bad Movie,Making-of,29-Oct-19,13,7.2,English,Yes
The Siege of Jadotville,War,7-Oct-16,108,7.2,English,Yes
Zion ,Documentary,10-Aug-18,11,7.2,English,Yes
Dolemite Is My Name,Biopic,25-Oct-19,118,7.3,English,Yes
El Camino: A Breaking Bad Movie,Crime drama,11-Oct-19,121,7.3,English,Yes
Extremis,Documentary,13-Sep-16,24,7.3,English,Yes
Father Soldier Son,Documentary,17-Jul-20,100,7.3,English,Yes
Get Me Roger Stone,Documentary,12-May-17,101,7.3,English,Yes
I'm No Longer Here,Drama,27-May-20,105,7.3,Spanish,Yes
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,8-Jul-20,96,7.3,Spanish/English,Yes
Octonauts & the Great Barrier Reef,Animation,13-Oct-20,47,7.3,English,Yes
Okja,Action-adventure,28-Jun-17,121,7.3,English/Korean,Yes
On My Skin,Crime drama,12-Sep-18,100,7.3,Italian,Yes
Raat Akeli Hai,Thriller,31-Jul-20,149,7.3,Hindi,Yes
ReMastered: Massacre at the Stadium,Documentary,11-Jan-19,64,7.3,English/Spanish,Yes
ReMastered: The Two Killings of Sam Cooke,Documentary,8-Feb-19,64,7.3,English,Yes
Secrets of the Saqqara Tomb,Documentary,28-Oct-20,114,7.3,English/Arabic,Yes
Sitara: Let Girls Dream,Animation / Short,8-Mar-20,15,7.3,English,Yes
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,14-Oct-16,79,7.3,English/Mandarin,Yes
Team Foxcatcher,Documentary,29-Apr-16,90,7.3,English/Russian,Yes
The Ballad of Buster Scruggs,Western,16-Nov-18,132,7.3,English,Yes
The Death and Life of Marsha P. Johnson,Documentary,6-Oct-17,105,7.3,English,Yes
The Fundamentals of Caring,Comedy-drama,24-Jun-16,97,7.3,English,Yes
The Other One: The Long Strange Trip of Bob Weir,Documentary,22-May-15,83,7.3,English,Yes
American Factory,Documentary,21-Aug-19,110,7.4,English,Yes
Fire in Paradise,Documentary,1-Nov-19,39,7.4,English,Yes
Long Shot,Documentary,29-Sep-17,40,7.4,English,Yes
Miss Americana,Documentary,31-Jan-20,85,7.4,English,Yes
Period. End of Sentence.,Documentary,12-Feb-19,26,7.4,English/Hindi,Yes
Shawn Mendes: Live in Concert,Concert Film,25-Nov-20,87,7.4,English,Yes
Shirkers,Documentary,26-Oct-18,97,7.4,English,Yes
The Black Godfather,Documentary,7-Jun-19,118,7.4,English,Yes
The Irishman: In Conversation,Aftershow / Interview,27-Nov-19,23,7.4,English,Yes
The Speed Cubers,Documentary,29-Jul-20,40,7.4,English,Yes
They'll Love Me When I'm Dead,Documentary,2-Nov-18,98,7.4,English,Yes
Tig,Documentary,17-Jul-15,80,7.4,English,Yes
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,22-Nov-17,108,7.5,English,Yes
Blackpink: Light Up the Sky,Documentary,14-Oct-20,79,7.5,Korean,Yes
City of Joy,Documentary,7-Sep-18,74,7.5,English,Yes
Dick Johnson Is Dead,Documentary,2-Oct-20,90,7.5,English,Yes
Homecoming: A Film by Beyonce ,Documentary,17-Apr-19,137,7.5,English,Yes
Invader Zim: Enter the Florpus,Animation / Science Fiction,16-Aug-19,71,7.5,English,Yes
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English,Yes
John Mulaney & the Sack Lunch Bunch,Variety show,24-Dec-19,70,7.5,English,Yes
Reversing Roe,Documentary,13-Sep-18,99,7.5,English,Yes
The White Helmets,Documentary,September 16. 2016,40,7.5,English,Yes
Athlete A,Documentary,24-Jun-20,104,7.6,English,Yes
Ludo,Anthology/Dark comedy,12-Nov-20,149,7.6,Hindi,Yes
Quincy,Documentary,21-Sep-18,124,7.6,English,Yes
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,12-Jun-19,144,7.6,English,Yes
Tell Me Who I Am,Documentary,18-Oct-19,85,7.6,English,Yes
The Bleeding Edge,Documentary,27-Jul-18,100,7.6,English,Yes
The Social Dilemma,Documentary,9-Sep-20,94,7.6,English,Yes
The Two Popes,Drama,20-Dec-19,125,7.6,English,Yes
"What Happened, Miss Simone?",Documentary,26-Jun-15,84,7.6,English,Yes
Yeh Ballet,Drama,21-Feb-20,117,7.6,Hindi,Yes
Anima,Musical / Short,27-Jun-19,15,7.7,English,Yes
Beasts of No Nation,War drama,16-Oct-15,136,7.7,English/Akan,Yes
Brene Brown: The Call to Courage,Documentary,19-Apr-19,76,7.7,English,Yes
Crip Camp: A Disability Revolution,Documentary,25-Mar-20,108,7.7,English,Yes
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,17-Nov-17,94,7.7,English,Yes
Justin Timberlake + The Tennessee Kids,Concert Film,12-Oct-16,90,7.7,English,Yes
Road to Roma,Making-of,11-Feb-20,72,7.7,Spanish,Yes
Roma,Drama,14-Dec-18,135,7.7,Spanish,Yes
If Anything Happens I Love You,Animation / Short,20-Nov-20,12,7.8,English,Yes
The Irishman,Crime drama,27-Nov-19,209,7.8,English,Yes
The Trial of the Chicago 7,Drama,16-Oct-20,130,7.8,English,Yes
A Secret Love,Documentary,29-Apr-20,82,7.9,English,Yes
Icarus,Documentary,4-Aug-17,120,7.9,English,Yes
Marriage Story,Drama,6-Dec-19,136,7.9,English,Yes
The Ivory Game,Documentary,4-Nov-16,112,7.9,English,Yes
Struggle: The Life and Lost Art of Szukaiski,Documentary,21-Dec-18,105,8,English,Yes
Chasing Coral ,Documentary,14-Jul-17,89,8.1,English,Yes
My Octopus Teacher,Documentary,7-Sep-20,85,8.1,English,Yes
Rising Phoenix,Documentary,26-Aug-20,106,8.1,English,Yes
13th,Documentary,7-Oct-16,100,8.2,English,Yes
Disclosure: Trans Lives on Screen,Documentary,19-Jun-20,107,8.2,English,Yes
Klaus,Animation/Christmas/Comedy/Adventure,15-Nov-19,97,8.2,English,Yes
Seaspiracy,Documentary,24-Mar-21,89,8.2,English,Yes
The Three Deaths of Marisela Escobedo,Documentary,14-Oct-20,109,8.2,Spanish,Yes
Cuba and the Cameraman ,Documentary,24-Nov-17,114,8.3,English,Yes
Dancing with the Birds,Documentary,23-Oct-19,51,8.3,English,Yes
Ben Platt: Live from Radio City Music Hall,Concert Film,20-May-20,85,8.4,English,Yes
Taylor Swift: Reputation Stadium Tour,Concert Film,31-Dec-18,125,8.4,English,Yes
Winter on Fire: Ukraine's Fight for Freedom,Documentary,9-Oct-15,91,8.4,English/Ukranian/Russian,Yes
Springsteen on Broadway,One-man show,16-Dec-18,153,8.5,English,Yes
Emicida: AmarElo - It's All For Yesterday,Documentary,8-Dec-20,89,8.6,Portuguese,Yes
David Attenborough: A Life on Our Planet,Documentary,4-Oct-20,83,9,English,Yes
